SOEM (Simple Open EtherCAT Master)
Simple test
Starting simple test
ec_init on eno3 succeeded.
1 slaves found and configured.
Found slaves with DC.
Slaves mapped, state to SAFE_OP.
segments : 1 : 20 0 0 0
Request operational state for all slaves
Calculated workcounter 3
Operational state reached for all slaves.


CoE: 0x8 (Requesting: ) Processdata cycle    0, WKC: 3 , MS: 8000b100, Pos: 500 T: 1920339752 dt:   14041959
CoE: 0x8 (Requesting: ) Processdata cycle    1, WKC: 3 , MS: 8000b100, Pos: 500 T: 1925324712 dt:    4984960
CoE: 0x8 (Requesting: ) Processdata cycle    2, WKC: 3 , MS: 8000b100, Pos: 500 T: 1930394913 dt:    5070201
CoE: 0x8 (Requesting: ) Processdata cycle    3, WKC: 3 , MS: 8000b100, Pos: 500 T: 1936806512 dt:    6411599
CoE: 0x8 (Requesting: ) Processdata cycle    4, WKC: 3 , MS: 8000b100, Pos: 500 T: 1941731832 dt:    4925320
CoE: 0x8 (Requesting: ) Processdata cycle    5, WKC: 3 , MS: 8000b100, Pos: 500 T: 1947133832 dt:    5402000
CoE: 0x8 (Requesting: ) Processdata cycle    6, WKC: 3 , MS: 8000b100, Pos: 500 T: 1952286833 dt:    5153001
CoE: 0x8 (Requesting: ) Processdata cycle    7, WKC: 3 , MS: 8000b100, Pos: 500 T: 1956967352 dt:    4680519
CoE: 0x8 (Requesting: ) Processdata cycle    8, WKC: 3 , MS: 8000b100, Pos: 500 T: 1962890233 dt:    5922881
CoE: 0x8 (Requesting: ) Processdata cycle    9, WKC: 3 , MS: 8000b100, Pos: 500 T: 1967929872 dt:    5039639
CoE: 0x8 (Requesting: ) Processdata cycle   10, WKC: 3 , MS: 8000b100, Pos: 500 T: 1973293472 dt:    5363600
CoE: 0x8 (Requesting: ) Processdata cycle   11, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:    4500600

CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   12, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   13, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   14, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   15, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   16, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   17, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   18, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   19, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   20, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   21, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   22, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   23, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   24, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   25, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   26, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   27, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   28, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   29, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   30, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   31, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   32, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   33, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   34, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   35, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   36, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   37, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   38, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   39, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
